"Camera","Camera_type","Site","Day","Date","Time","Number_of_bees_2min","LM_2min","HS_2min","Number_of_bees_4min","LM_4min","HS_4min","Number_of_bees_6min","LM_6min","HS_6min","Number_of_bees_8min","LM_8min","HS_8min","Number_of_bees_10min","LM_10min","HS_10min","Avg_total_number_of_HS","Avg_total_number_of_LM","Avg_total_number_of_bees","Duration_of_nest_opening_HS","Avg_duration_of_nest_guarding_LM","Avg_duration_of_nest_guarding_HS","Duration_of_nest_closing_HS","Incoming_frequency_LM","Outgoing_frequency_LM","Incoming_frequency_HS","Outgoing_frequency_HS","Thermochron_1","Thermochron_10","Thermochron_2","Thermochron_3","Thermochron_4","Thermochron_6","Thermochron_7","Thermochron_8","Thermochron_9","Avg_T_ambient","Avg_T_H_scab","Avg_T_L_mala","Avg_lux_light_logger"
"Sveta","Focal",2,8,"22/4",10,3,1,2,2,1,1,3,0,3,1,0,1,0,0,0,1.4,0.4,1.8,NA,NA,234.25,NA,0,1,0,0,25.0666666666667,16,22.6666666666667,19.65,19.5,16.6833333333333,17,16,16.9,19.9853611111111,22.7516388888889,21.3198888888889,23078.8266666667
"Sveta","Focal",2,8,"22/4",11,5,2,3,3,1,2,3,0,3,2,0,2,3,2,0,2,0.6,3.2,NA,NA,65.8,NA,1,2,5,5,28.3666666666667,16.85,28.8,22.1166666666667,20.5833333333333,17.5666666666667,18.0833333333333,16.9833333333333,17.65,21.9877777777778,25.4305833333333,25.8507777777778,37461.0773333333
"Sveta","Focal",2,8,"22/4",12,0,0,0,2,0,1,2,1,1,1,0,1,1,0,1,0.8,0.6,1.2,NA,NA,84.75,NA,1,1,0,0,26.8333333333333,17.7666666666667,25.95,22.2333333333333,20.7333333333333,18,19,17.5833333333333,18.3666666666667,20.7860833333333,24.1323055555556,23.9521944444444,17281.1946666667
"Sveta","Focal",2,8,"22/4",13,1,0,1,1,0,1,1,0,1,3,0,3,3,2,1,1.4,0,1.8,NA,NA,169.6,NA,0,0,0,0,27.95,18.1166666666667,33.0166666666667,24.5666666666667,21.8166666666667,18.5666666666667,19.3333333333333,18.3666666666667,19.1,23.4266666666667,28.9444722222222,29.3114722222222,45307.7333333333
"Sveta","Focal",2,8,"22/4",14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.2,0.6,0.4,NA,NA,311,NA,0,0,0,0,27.4333333333333,19.3833333333333,41.7333333333333,28.65,24.1166666666667,19.8166666666667,21.0166666666667,20.4666666666667,20.5,25.5206666666667,31.5284444444444,32.3643888888889,39820.1173333333
"Sveta","Focal",2,8,"22/4",15,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0.8,0,0.8,NA,NA,NA,NA,0,0,0,0,24.9666666666667,20.4333333333333,39.3,28.3166666666667,26.4666666666667,22.9166666666667,22,21.8,21.6,24.7611111111111,30.8098055555556,31.0864166666667,36720.128
"Sveta","Focal",2,8,"22/4",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,24.4166666666667,21,31.7333333333333,26.15,25.4666666666667,22.6166666666667,22,22,22,21.5636666666667,26.0507777777778,27.2411944444444,17389.568
"Sveta","Focal",2,8,"22/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,22.0192307692308,20.7560975609756,21.3584905660377,22.9302325581395,21.0769230769231,19.9772727272727,21.58,20.8510638297872,21.2666666666667,17.6903333333333,20.7372222222222,21.8643055555556,6473.74933333333
"Sveta","Focal",2,9,"23/4",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,24.48333,15,14.4833333333333,15.9,14.1,14,15.0333333333333,14,15,16.2159166666667,14.8126944444444,15.1585277777778,36579.4133333333
"Sveta","Focal",2,9,"23/4",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,27.5,15.55,18.0833333333333,18.5166666666667,15.6666666666667,14.4,16.4,14.2333333333333,15.6166666666667,19.4216388888889,19.6004444444444,22.5900555555556,50370.7306666667
